University,Location,AI Rank Latin America,AI Rank World,Founded Year,Country,City,Longitude,Latitude
1. University of Buenos Aires,Argentina | Buenos Aires,13,691,1821,Argentina,Buenos Aires,-58.3816,-34.2
2. National University of La Plata,Argentina | La Plata,22,952,1905,Argentina,La Plata,-57.9545,-34.5
3. National University of the South,Argentina | Bahia Blanca,41,1378,1956,Argentina,Bahia Blanca,-62.2663,-39.0
4. National University of Cordoba,Argentina | Cordoba,47,1436,1613,Argentina,Cordoba,-64.1888,-30.5
5. National University of Rosario,Argentina | Rosario,58,1678,1968,Argentina,Rosario,-60.6505,-32.8
6. National University of San Juan,Argentina | San Juan,65,1856,1973,Argentina,San Juan,-60.0,-30.0
7. National University of Mar del Plata,Argentina | Mar del Plata,81,2094,1975,Argentina,Mar del Plata,-60.0,-30.0
8. National University of San Luis,Argentina | San Luis,96,2238,1973,Argentina,San Luis,-60.0,-30.0
9. National University of Litoral,Argentina | Santa Fe,101,2296,1919,Argentina,Santa Fe,-60.0,-30.0
10. National Technological University,Argentina | Buenos Aires,102,2346,1959,Argentina,Buenos Aires,-58.3816,-34.2
11. National University of Rio Cuarto,Argentina | Rio Cuarto,119,2657,1971,Argentina,Rio Cuarto,-60.0,-30.0
12. National University of Cuyo,Argentina | Mendoza,121,2711,1939,Argentina,Mendoza,-60.0,-30.0
"13. National University of San Martin, Argentina",Argentina | San Martin,132,2861,1992,Argentina,San Martin,-60.0,-30.0
14. National University of Comahue,Argentina | Neuquen,139,3073,1972,Argentina,Neuquen,-60.0,-30.0
15. National University of Tucuman,Argentina | San Miguel de Tucuman,140,3075,1914,Argentina,San Miguel de Tucuman,-60.0,-30.0
16. National University of Entre Rios,Argentina | Concepcion del Uruguay,143,3120,1973,Argentina,Concepcion del Uruguay,-60.0,-30.0
17. Torcuato di Tella University,Argentina | Buenos Aires,168,3465,1991,Argentina,Buenos Aires,-58.3816,-34.2
18. National University of Quilmes,Argentina | Quilmes,174,3576,1989,Argentina,Quilmes,-60.0,-30.0
19. University of San Andres,Argentina | Victoria,179,3603,1988,Argentina,Victoria,-60.0,-30.0
20. University Institute of the Italian Hospital,Argentina | Buenos Aires,185,3693,2000,Argentina,Buenos Aires,-58.3816,-34.2
21. National University of General Sarmiento,Argentina | Los Polvorines,186,3730,1992,Argentina,Los Polvorines,-60.0,-30.0
22. National University of La Pampa,Argentina | Santa Rosa,198,3814,1958,Argentina,Santa Rosa,-60.0,-30.0
23. Favaloro University,Argentina | Buenos Aires,219,4116,1992,Argentina,Buenos Aires,-58.3816,-34.2
24. Austral University,Argentina | Buenos Aires,225,4196,1991,Argentina,Buenos Aires,-58.3816,-34.2
25. National University of Salta,Argentina | Salta,229,4263,1972,Argentina,Salta,-60.0,-30.0
26. Pontifical Catholic University of Argentina,Argentina | Buenos Aires,237,4370,1958,Argentina,Buenos Aires,-58.3816,-34.2
27. Northeast National University,Argentina | Corrientes,244,4460,1956,Argentina,Corrientes,-60.0,-30.0
28. University of Salvador,Argentina | Buenos Aires,260,4648,1958,Argentina,Buenos Aires,-58.3816,-34.2
29. National University of Misiones,Argentina | Posadas,283,4864,1973,Argentina,Posadas,-60.0,-30.0
30. University of Belgrano,Argentina | Buenos Aires,292,5006,1964,Argentina,Buenos Aires,-58.3816,-34.2
31. National University of Lujan,Argentina | Lujan,299,5071,1972,Argentina,Lujan,-60.0,-30.0
"32. Argentine Business University, Buenos Aires",Argentina | Buenos Aires,301,5076,1968,Argentina,Buenos Aires,-58.3816,-34.2
33. Catholic University of Cordoba,Argentina | Cordoba,315,5256,1956,Argentina,Cordoba,-64.1888,-30.5
34. Interamerican Open University,Argentina | Buenos Aires,316,5284,1995,Argentina,Buenos Aires,-58.3816,-34.2
35. University of Mendoza,Argentina | Mendoza,321,5331,1959,Argentina,Mendoza,-60.0,-30.0
36. National University of Jujuy,Argentina | San Salvador de Jujuy,329,5397,1972,Argentina,San Salvador de Jujuy,-60.0,-30.0
37. National University of La Matanza,Argentina | San Justo,334,5430,1989,Argentina,San Justo,-60.0,-30.0
